,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.31917462,6.8,0
1,बाघ,बिल्ली,0.51040477,7.0,1
2,किताब,कागज़,0.42538896,7.6,0
3,कंप्यूटर,कीबोर्ड,0.6441723,7.6,1
4,कंप्यूटर,इंटरनेट,0.7670274,8.0,1
5,विमान,कार,0.54475224,6.0,1
6,रेलगाड़ी,कार,0.82679707,6.2,1
7,टेलीफोन,संचार,0.4574875,7.6,0
8,टेलीविजन,रेडियो,0.8256769,6.4,1
9,मीडिया,रेडियो,0.37199602,5.8,0
10,ब्रेड,मक्खन,0.65037584,6.6,1
11,खीरा,आलू,1.1194365,5.8,1
12,चिकित्सक,नर्स,0.5703543,7.6,1
13,प्रोफ़ेसर,चिकित्सक,0.47473094,4.6,0
14,छात्र,प्रोफ़ेसर,0.354969,7.0,0
15,होशियार,छात्र,0.12894249,5.2,0
16,होशियार,बेवकूफ,0.6505235,6.2,1
17,किताब,पुस्तकालय,0.21410133,7.6,0
18,बैंक,पैसे,0.3429799,8.0,0
19,लकड़ी,जंगल,0.47485068,7.0,0
20,प्रोफ़ेसर,खीरा,0.013458346,0.0,0
21,राजा,रानी,0.55464715,8.2,1
22,बिशप,रबी,-0.109364346,7.0,0
23,यरूशलेम,इजराइल,0.41598308,7.8,0
24,पवित्र,सेक्स,0.10411651,1.0,0
25,माराडोना,फ़ुटबॉल,0.76783544,7.8,1
26,फ़ुटबॉल,सॉकर,0.70712364,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.6572118,6.4,1
28,फ़ुटबॉल,टेनिस,1.1959013,5.8,1
29,टेनिस,रैकेट,0.27503335,7.4,0
30,कानून,वकील,0.28854737,7.8,0
31,चलचित्र,पॉपकॉर्न,0.11503138,6.6,0
32,चलचित्र,आलोचक,0.28469163,6.6,0
33,चलचित्र,थिएटर,0.46099654,8.4,0
34,पीना,कार,0.006199457,1.4,0
35,पीना,कान,0.078767,0.4,0
36,पीना,मुंह,0.1998687,7.0,0
37,बच्चा,मां,0.5057204,7.2,1
38,पीना,मां,0.17159627,1.8,0
39,मणि,गहना,0.25333506,6.8,0
40,भट्ठी,स्टोव,0.7410802,8.4,1
41,भोजन,फल,0.5149569,6.6,1
42,पक्षी,सारस,0.5432974,7.4,1
43,भाई,साधु,0.15625617,1.4,0
44,यात्रा,कार,0.2764695,6.2,0
45,साधु,गुलाम,0.18919837,0.2,0
46,कांच,जादूगर,0.19075283,2.0,0
47,पैसे,मुद्रा,0.19236133,8.6,0
48,पैसे,धन,0.6438155,9.2,1
49,पैसे,संपत्ति,0.42031044,8.4,0
50,पैसे,बैंक,0.4032444,8.2,0
51,पैसे,जमा,0.38363358,6.6,0
52,पैसे,ऑपरेशन,0.08325811,2.6,0
53,बाघ,जैगुआर,0.099924244,8.0,0
54,बाघ,जानवर,0.74787575,7.6,1
55,बाघ,चिड़ियाघर,0.522296,6.8,1
56,मनोविज्ञान,चिंता,0.17752059,6.2,0
57,मनोविज्ञान,डर,-0.10082715,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.27857026,7.0,0
59,मनोविज्ञान,क्लिनिक,0.20109396,6.4,0
60,मनोविज्ञान,चिकित्सक,0.45038724,7.0,0
61,मनोविज्ञान,मन,0.29981518,7.4,0
62,मनोविज्ञान,स्वास्थ्य,0.51415926,6.2,1
63,मनोविज्ञान,विज्ञान,0.9798273,7.0,1
64,मनोविज्ञान,अनुशासन,0.44662333,4.2,0
