,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.3323121,6.8,0
1,बाघ,बिल्ली,0.7037658,7.0,1
2,किताब,कागज़,0.59457266,7.6,1
3,कंप्यूटर,कीबोर्ड,0.80577266,7.6,1
4,कंप्यूटर,इंटरनेट,0.70548505,8.0,1
5,विमान,कार,0.5998935,6.0,1
6,रेलगाड़ी,कार,0.63413495,6.2,1
7,टेलीफोन,संचार,0.5696797,7.6,1
8,टेलीविजन,रेडियो,0.74302036,6.4,1
9,मीडिया,रेडियो,0.6151789,5.8,1
10,ब्रेड,मक्खन,0.6391673,6.6,1
11,खीरा,आलू,0.7304896,5.8,1
12,चिकित्सक,नर्स,0.68180263,7.6,1
13,प्रोफ़ेसर,चिकित्सक,0.5259001,4.6,1
14,छात्र,प्रोफ़ेसर,0.56221014,7.0,1
15,होशियार,छात्र,0.35913047,5.2,0
16,होशियार,बेवकूफ,0.5755819,6.2,1
17,किताब,पुस्तकालय,0.5510619,7.6,1
18,बैंक,पैसे,0.39450958,8.0,0
19,लकड़ी,जंगल,0.5073522,7.0,1
20,प्रोफ़ेसर,खीरा,0.12873198,0.0,0
21,राजा,रानी,0.73041534,8.2,1
22,बिशप,रबी,0.18130217,7.0,0
23,यरूशलेम,इजराइल,0.41194975,7.8,0
24,पवित्र,सेक्स,0.27718598,1.0,0
25,माराडोना,फ़ुटबॉल,0.6906526,7.8,1
26,फ़ुटबॉल,सॉकर,0.8830742,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.7678843,6.4,1
28,फ़ुटबॉल,टेनिस,0.84746623,5.8,1
29,टेनिस,रैकेट,0.47465792,7.4,0
30,कानून,वकील,0.49075612,7.8,0
31,चलचित्र,पॉपकॉर्न,0.42645377,6.6,0
32,चलचित्र,आलोचक,0.29259187,6.6,0
33,चलचित्र,थिएटर,0.46845767,8.4,0
34,पीना,कार,0.30796918,1.4,0
35,पीना,कान,0.29757437,0.4,0
36,पीना,मुंह,0.32874224,7.0,0
37,बच्चा,मां,0.5509446,7.2,1
38,पीना,मां,0.22197089,1.8,0
39,मणि,गहना,0.44640532,6.8,0
40,भट्ठी,स्टोव,0.77247226,8.4,1
41,भोजन,फल,0.50674087,6.6,1
42,पक्षी,सारस,0.842569,7.4,1
43,भाई,साधु,0.331319,1.4,0
44,यात्रा,कार,0.45037332,6.2,0
45,साधु,गुलाम,0.2641517,0.2,0
46,कांच,जादूगर,0.316031,2.0,0
47,पैसे,मुद्रा,0.52849334,8.6,1
48,पैसे,धन,0.530939,9.2,1
49,पैसे,संपत्ति,0.6411848,8.4,1
50,पैसे,बैंक,0.611162,8.2,1
51,पैसे,जमा,0.5613762,6.6,1
52,पैसे,ऑपरेशन,0.41681367,2.6,0
53,बाघ,जैगुआर,0.64354694,8.0,1
54,बाघ,जानवर,0.72072244,7.6,1
55,बाघ,चिड़ियाघर,0.81289595,6.8,1
56,मनोविज्ञान,चिंता,0.30315387,6.2,0
57,मनोविज्ञान,डर,0.13120864,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.48968554,7.0,0
59,मनोविज्ञान,क्लिनिक,0.4646137,6.4,0
60,मनोविज्ञान,चिकित्सक,0.50246054,7.0,1
61,मनोविज्ञान,मन,0.2526733,7.4,0
62,मनोविज्ञान,स्वास्थ्य,0.51092196,6.2,1
63,मनोविज्ञान,विज्ञान,0.78318506,7.0,1
64,मनोविज्ञान,अनुशासन,0.45532435,4.2,0
