,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.3972827,6.8,0
1,बाघ,बिल्ली,0.61333287,7.0,0
2,किताब,कागज़,0.63365984,7.6,0
3,कंप्यूटर,कीबोर्ड,0.7925289,7.6,0
4,कंप्यूटर,इंटरनेट,0.72388566,8.0,0
5,विमान,कार,0.60173166,6.0,0
6,रेलगाड़ी,कार,0.6826973,6.2,0
7,टेलीफोन,संचार,0.5437553,7.6,0
8,टेलीविजन,रेडियो,0.7142614,6.4,0
9,मीडिया,रेडियो,0.63150066,5.8,0
10,ब्रेड,मक्खन,0.6577515,6.6,0
11,खीरा,आलू,0.76691747,5.8,0
12,चिकित्सक,नर्स,0.7047942,7.6,0
13,प्रोफ़ेसर,चिकित्सक,0.5357054,4.6,0
14,छात्र,प्रोफ़ेसर,0.5105898,7.0,0
15,होशियार,छात्र,0.3471782,5.2,0
16,होशियार,बेवकूफ,0.59806573,6.2,0
17,किताब,पुस्तकालय,0.49389225,7.6,0
18,बैंक,पैसे,0.4128312,8.0,0
19,लकड़ी,जंगल,0.5069959,7.0,0
20,प्रोफ़ेसर,खीरा,0.1012681,0.0,0
21,राजा,रानी,0.6443536,8.2,0
22,बिशप,रबी,0.118915275,7.0,0
23,यरूशलेम,इजराइल,0.38145718,7.8,0
24,पवित्र,सेक्स,0.26051566,1.0,0
25,माराडोना,फ़ुटबॉल,0.71406275,7.8,0
26,फ़ुटबॉल,सॉकर,0.931049,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.7375539,6.4,0
28,फ़ुटबॉल,टेनिस,0.8639484,5.8,1
29,टेनिस,रैकेट,0.44811153,7.4,0
30,कानून,वकील,0.538994,7.8,0
31,चलचित्र,पॉपकॉर्न,0.42786977,6.6,0
32,चलचित्र,आलोचक,0.31634393,6.6,0
33,चलचित्र,थिएटर,0.45893726,8.4,0
34,पीना,कार,0.18018217,1.4,0
35,पीना,कान,0.27236247,0.4,0
36,पीना,मुंह,0.34903267,7.0,0
37,बच्चा,मां,0.57322186,7.2,0
38,पीना,मां,0.18933249,1.8,0
39,मणि,गहना,0.4148472,6.8,0
40,भट्ठी,स्टोव,0.7835181,8.4,0
41,भोजन,फल,0.6150725,6.6,0
42,पक्षी,सारस,0.83845174,7.4,1
43,भाई,साधु,0.34485698,1.4,0
44,यात्रा,कार,0.4416374,6.2,0
45,साधु,गुलाम,0.3135327,0.2,0
46,कांच,जादूगर,0.30585423,2.0,0
47,पैसे,मुद्रा,0.48178652,8.6,0
48,पैसे,धन,0.6940184,9.2,0
49,पैसे,संपत्ति,0.64704907,8.4,0
50,पैसे,बैंक,0.56979835,8.2,0
51,पैसे,जमा,0.5724706,6.6,0
52,पैसे,ऑपरेशन,0.3056195,2.6,0
53,बाघ,जैगुआर,0.629357,8.0,0
54,बाघ,जानवर,0.6730646,7.6,0
55,बाघ,चिड़ियाघर,0.715218,6.8,0
56,मनोविज्ञान,चिंता,0.33672068,6.2,0
57,मनोविज्ञान,डर,0.19267136,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.44709137,7.0,0
59,मनोविज्ञान,क्लिनिक,0.4460961,6.4,0
60,मनोविज्ञान,चिकित्सक,0.50193596,7.0,0
61,मनोविज्ञान,मन,0.3507323,7.4,0
62,मनोविज्ञान,स्वास्थ्य,0.5228759,6.2,0
63,मनोविज्ञान,विज्ञान,0.7890853,7.0,0
64,मनोविज्ञान,अनुशासन,0.5045112,4.2,0
